"證券代號 TT","可借券賣出股數"
"證券代號 TT","可借券賣出股數"
"8032 TT","5,048"
"2890 TT","3,576,024"
"8038 TT","351,056"
"2891 TT","6,843,015"
"8040 TT","30,529"
"2892 TT","3,792,294"
"8042 TT","98,814"
"2901 TT","7,534"
"8043 TT","15,617"
"2903 TT","423,555"
"8044 TT","89,085"
"2904 TT","12,513"
"8047 TT","5,299"
"2905 TT","192,345"
"8048 TT","90,810"
"2906 TT","17,825"
"8049 TT","531,928"
"2908 TT","150,806"
"8050 TT","232,348"
"2910 TT","514"
"8053 TT","26,587"
"2911 TT","152,222"
"8054 TT","30,620"
"2912 TT","305,365"
"8059 TT","38,527"
"2913 TT","451,454"
"8064 TT","1,309,398"
"2915 TT","738,194"
"8069 TT","2,397,121"
"2929 TT","151,451"
"8071 TT","23,299"
"3002 TT","27,473"
"8074 TT","54,008"
"3003 TT","462,154"
"8076 TT","573,368"
"3004 TT","110,780"
"8079 TT","15,293"
"3005 TT","626,844"
"8080 TT","161,923"
"3006 TT","314,135"
"8083 TT","3,874"
"3008 TT","193,385"
"8085 TT","39,733"
"3010 TT","37,335"
"8086 TT","1,173,458"
"3011 TT","127,913"
"8088 TT","51,064"
"3013 TT","144,408"
"8091 TT","111,995"
"3014 TT","116,919"
"8093 TT","4,156"
"3015 TT","60,470"
"8096 TT","1,053,066"
"3016 TT","744,542"
"8099 TT","25,505"
"3017 TT","799,832"
"8107 TT","138,171"
"3018 TT","28,790"
"8109 TT","69,896"
"3019 TT","206,984"
"8121 TT","139,562"
"3021 TT","18,501"
"8147 TT","21,662"
"3022 TT","210,876"
"8155 TT","50,378"
"3023 TT","388,650"
"8171 TT","159,186"
"3024 TT","44,153"
"8182 TT","21,348"
"3025 TT","35,685"
"8183 TT","114,353"
"3026 TT","30,263"
"8234 TT","87,507"
"3027 TT","70,823"
"8240 TT","11,562"
"3028 TT","137,790"
"8255 TT","300,246"
"3029 TT","210,562"
"8277 TT","296,776"
"3030 TT","165,513"
"8287 TT","107,275"
"3031 TT","58,879"
"8289 TT","30,258"
"3032 TT","572,381"
"8299 TT","293,065"
"3033 TT","49,194"
"8349 TT","14,088"
"3034 TT","770,862"
"8354 TT","18,093"
"3035 TT","284,639"
"8358 TT","90,939"
"3036 TT","207,099"
"8383 TT","466,959"
"3037 TT","1,567,285"
"8390 TT","22,100"
"3038 TT","971,415"
"8401 TT","18,224"
"3040 TT","10,700"
"8403 TT","155,122"
"3041 TT","519,491"
"8406 TT","49,855"
"3042 TT","759,547"
"8410 TT","10,637"
"3044 TT","264,225"
"8418 TT","4,747"
"3045 TT","646,626"
"8420 TT","96,792"
"3047 TT","201,185"
"8421 TT","27,066"
"3048 TT","181,953"
"8424 TT","5,197"
"3049 TT","726,745"
"8426 TT","32,988"
"3050 TT","284,276"
"8431 TT","382,784"
"3052 TT","104,457"
"8432 TT","201,520"
"3054 TT","66,164"
"8433 TT","94,288"
"3055 TT","461,158"
"8435 TT","4,655"
"3056 TT","337,834"
"8436 TT","382,166"
"3057 TT","227,857"
"8437 TT","107,610"
"3058 TT","42,298"
"8444 TT","21,534"
"3059 TT","418,055"
"8446 TT","239,472"
"3060 TT","446,905"
"8450 TT","13,812"
"3062 TT","339,200"
"8905 TT","7,740"
"3090 TT","33,538"
"8908 TT","783"
"3094 TT","117,940"
"8913 TT","9,058"
"3130 TT","1,951"
"8916 TT","106,935"
"3149 TT","300,478"
"8917 TT","457"
"3164 TT","35,817"
"8923 TT","457"
"3167 TT","52,763"
"8924 TT","27,550"
"3189 TT","364,912"
"8927 TT","40,663"
"3209 TT","120,896"
