"證券代號 TT","可借券賣出股數"
"8032 TT","3,851"
"2891 TT","6,151,432"
"8038 TT","383,531"
"2892 TT","3,152,376"
"8040 TT","16,841"
"2901 TT","5,644"
"8042 TT","71,023"
"2903 TT","396,263"
"8043 TT","11,694"
"2904 TT","9,228"
"8044 TT","68,433"
"2905 TT","149,492"
"8047 TT","2,488"
"2906 TT","13,565"
"8048 TT","45,545"
"2908 TT","97,135"
"8049 TT","354,566"
"2910 TT","367"
"8050 TT","234,704"
"2911 TT","86,830"
"8053 TT","47,571"
"2912 TT","285,856"
"8054 TT","25,902"
"2913 TT","384,002"
"8059 TT","23,735"
"2915 TT","768,678"
"8064 TT","1,169,984"
"2929 TT","90,535"
"8069 TT","2,204,529"
"3002 TT","25,717"
"8071 TT","6,312"
"3003 TT","585,459"
"8074 TT","42,542"
"3004 TT","95,111"
"8076 TT","440,552"
"3005 TT","563,304"
"8079 TT","13,804"
"3006 TT","289,459"
"8080 TT","197,716"
"3008 TT","198,980"
"8083 TT","4,812"
"3010 TT","32,474"
"8085 TT","23,138"
"3011 TT","75,975"
"8086 TT","1,127,646"
"3013 TT","117,127"
"8088 TT","27,257"
"3014 TT","115,854"
"8091 TT","100,139"
"3015 TT","72,849"
"8093 TT","3,154"
"3016 TT","759,079"
"8096 TT","659,286"
"3017 TT","555,514"
"8099 TT","8,764"
"3018 TT","21,440"
"8107 TT","127,602"
"3019 TT","172,668"
"8109 TT","52,009"
"3021 TT","23,062"
"8121 TT","124,462"
"3022 TT","170,588"
"8147 TT","18,804"
"3023 TT","465,995"
"8155 TT","48,934"
"3024 TT","32,378"
"8171 TT","155,238"
"3025 TT","32,162"
"8182 TT","16,062"
"3026 TT","21,731"
"8183 TT","94,107"
"3027 TT","55,220"
"8234 TT","54,822"
"3028 TT","142,846"
"8240 TT","9,246"
"3029 TT","138,758"
"8255 TT","348,028"
"3030 TT","102,518"
"8277 TT","298,854"
"3031 TT","33,607"
"8287 TT","64,433"
"3032 TT","513,335"
"8289 TT","28,721"
"3033 TT","43,985"
"8299 TT","301,761"
"3034 TT","911,620"
"8349 TT","4,936"
"3035 TT","390,183"
"8354 TT","11,000"
"3036 TT","195,564"
"8358 TT","126,047"
"3037 TT","1,206,423"
"8383 TT","640,659"
"3038 TT","435,299"
"8390 TT","16,939"
"3040 TT","11,180"
"8401 TT","8,192"
"3041 TT","299,360"
"8403 TT","108,024"
"3042 TT","587,949"
"8406 TT","60,225"
"3044 TT","237,038"
"8410 TT","26,578"
"3045 TT","631,442"
"8418 TT","5,299"
"3047 TT","111,256"
"8420 TT","84,982"
"3048 TT","122,891"
"8421 TT","22,868"
"3049 TT","627,680"
"8424 TT","3,910"
"3050 TT","247,941"
"8426 TT","28,032"
"3052 TT","67,571"
"8431 TT","297,675"
"3054 TT","54,672"
"8432 TT","225,015"
"3055 TT","269,162"
"8433 TT","62,906"
"3056 TT","280,503"
"8435 TT","3,792"
"3057 TT","222,216"
"8436 TT","369,613"
"3058 TT","30,062"
"8437 TT","84,869"
"3059 TT","325,347"
"8444 TT","27,700"
"3060 TT","267,393"
"8446 TT","323,195"
"3062 TT","212,371"
"8450 TT","33,403"
"3090 TT","33,079"
"8905 TT","6,510"
"3094 TT","69,195"
"8908 TT","633"
"3130 TT","2,324"
"8913 TT","4,723"
"3149 TT","228,046"
"8916 TT","90,383"
"3164 TT","19,728"
"8917 TT","429"
"3167 TT","46,343"
"8923 TT","565"
"3189 TT","348,731"
"8924 TT","24,475"
"3209 TT","99,039"
"8927 TT","34,060"
"3229 TT","95,962"
"8928 TT","24,142"
"3231 TT","3,414,710"
"8929 TT","4,275"
"3257 TT","26,672"
"8930 TT","5,038"
"3266 TT","15,510"
"8931 TT","6,775"
"3296 TT","7,487"
"8933 TT","128,487"
"3305 TT","13,506"
"8935 TT","12,669"
"3308 TT","4,316"
